Category,,,Number,,,,,Percent,,
and,,,,,40 and,,,,,40 and
offense Total,Under 18,,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
"Total..................................................4..5..9..,.6..3..2.. ........6..3....,88 9",,,"42,003 146,857","118,558","88,325",100.0,13.9,9.1 32.0,25.8,19.2
"Violent offenses............................1..3..1..,.8..9..7.. ........1..6..,.7..3...9",,,"10,401 43,033","35,385","26,339",100.0,12.7,7.9 32.6,26.8,20.0
"Homicide........................................1..,.6..2..7.. ............1..6...0",,,261 652,299,255,100.0,9.8,16.0 40.1,18.4,15.7
"Forcible rape.................................2..,.7..0..2.. .............3..4....7",,,256 934,677,488,100.0,12.8,9.5 34.6,25.1,18.1
"Robbery........................................1..7..,.1..2..2.. .........4..,.9....65",,,"2,767 5,358","2,623","1,409",100.0,29.0,16.2 31.3,15.3,8.2
"Assault.........................................1..0..8..,.8..0..8.. ........1..1.,...13 8",,,"6,974 35,376","31,392","23,928",100.0,10.2,6.4 32.5,28.9,22.0
"Kidnapping....................................1..,.6..3..8.. .............1..2...9",,,143 713,394,259,100.0,7.9,8.7 43.5,24.1,15.8
"Property offenses..........................1..2..6..,.1..8.2.. ........3..1..,.1..3....9",,,"15,720 37,547","24,976","16,800",100.0,24.7,12.5 29.8,19.8,13.3
"Burglary.........................................4..6..,.9..7..8.. .......1..5..,.9...5 3",,,"6,381 12,059","7,594","4,991",100.0,34.0,13.6 25.7,16.2,10.6
"Theft..............................................4..3..,.6..7..2.. ..........6....,95 1",,,"4,719 13,257","10,567","8,178",100.0,15.9,10.8 30.4,24.2,18.7
"Motor vehicle theft.....................2..1..,.8..7..9.. ..........6..,.5..6..2.. .",,,"3,207 6,924","3,493","1,693",100.0,30.0,14.7 31.6,16.0,7.7
"Forgery, checks, access",,,,,,,,,,
"cards............................................1..2..,.0..6..0.. ...............76 2",,,"1,307 5,103","3,142","1,746",100.0,6.3,10.8 42.3,26.1,14.5
"Arson...............................................1..,.5..9..3.. ..............91 1",,,106 204,180,192,100.0,57.2,6.7 12.8,11.3,12.1
"Drug offenses................................1..2..8..,.1..4..2.. ..........6..,.2.3...3",,,"9,426 42,096","39,968","30,419",100.0,4.9,7.4 32.9,31.2,23.7
"Narcotics......................................5..3..,.0..1..4.. ..........2..,.1...98",,,"3,515 16,132","15,608","15,561",100.0,4.1,6.6 30.4,29.4,29.4
"Marijuana.....................................1..3..,.0..6..7.. ..........2..,.0....70",,,"1,983 5,313","2,153","1,548",100.0,15.8,15.2 40.7,16.5,11.8
"Dangerous drugs.........................5..7..,.8..6..6.. .........1..,.8..7..9...",,,"3,764 19,460","20,590","12,173",100.0,3.2,6.5 33.6,35.6,21.0
"Other...............................................4..,.1..9..5.. ...............8 6",,,"164 1,191","1,617","1,137",100.0,2.1,3.9 28.4,38.5,27.1
"Sex offenses.......................................9..,.3..5..6. ..........1..,.7...59",,,"687 2,299","2,059","2,552",100.0,18.8,7.3 24.6,22.0,27.3
"Lewd or lascivious.........................4..,.2..2..0.. ..........1..,.0..4....1",,,278 776,988,"1,137",100.0,24.7,6.6 18.4,23.4,26.9
"Other...............................................5..,.1..3..6.. ............7...1 8",,,"409 1,523","1,071","1,415",100.0,14.0,8.0 29.7,20.9,27.6
"Driving offenses................................7..,.2..0..7.. .............2..2...2",,,"498 2,693","1,908","1,886",100.0,3.1,6.9 37.4,26.5,26.2
"Driving under the influence.........5..,.5..2..4.. ...............9..0.. ....",,,"315 1,971","1,559","1,589",100.0,1.6,5.7 35.7,28.2,28.8
"Hit-and-run.....................................1..,.6..8..3.. .............1....32",,,183 722,349,297,100.0,7.8,10.9 42.9,20.7,17.6
"All other...........................................5..6..,.8..4..8.. ..........7..,.7...97",,,"5,271 19,189","14,262","10,329",100.0,13.7,9.3 33.8,25.1,18.2
"Weapons......................................1..6..,.3..3..8.. ..........4..,.7.8...2",,,"2,202 5,087","2,533","1,734",100.0,29.3,13.5 31.1,15.5,10.6
Escape...............................................4..5..2.. ............1....41,,,43 127,93,48,100.0,31.2,9.5 28.1,20.6,10.6
Bookmaking........................................7..1.. ..................1,,,0 8,14,48,100.0,1.4,0.0 11.3,19.7,67.6
"Other.............................................3..9..,.9..8..7.. .........2..,.8...7 3",,,"3,026 13,967","11,622","8,499",100.0,7.2,7.6 34.9,29.1,21.3
