Category,,,Number,,,,,Percent,,
and,,,,,40 and,,,,,40 and
offense,Total,Under 18,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
Total............................................,"534,460","65,189","45,181 184,478","114,913","124,699",100.0,12.2,8.5 34.5,21.5,23.3
Violent offenses........................,"126,342","17,079","10,286 43,157","27,204","28,616",100.0,13.5,8.1 34.2,21.5,22.6
Homicide...............................,"1,967",241,304 850,267,305,100.0,12.3,15.5 43.2,13.6,15.5
Forcible rape.........................,"2,122",224,207 764,493,434,100.0,10.6,9.8 36.0,23.2,20.5
Robbery.................................,"20,376","6,639","3,348 6,244","2,250","1,895",100.0,32.6,16.4 30.6,11.0,9.3
Assault...................................,"100,159","9,894","6,257 34,514","23,791","25,703",100.0,9.9,6.2 34.5,23.8,25.7
Kidnapping............................,"1,718",81,170 785,403,279,100.0,4.7,9.9 45.7,23.5,16.2
Property offenses.....................,"144,781","25,703","15,909 50,467","27,606","25,096",100.0,17.8,11.0 34.9,19.1,17.3
Burglary.................................,"51,610","13,183","6,526 16,476","7,994","7,431",100.0,25.5,12.6 31.9,15.5,14.4
Theft......................................,"52,377","6,004","4,821 18,266","11,412","11,874",100.0,11.5,9.2 34.9,21.8,22.7
Motor vehicle theft.................,"27,927","5,424","3,537 10,713","5,033","3,220",100.0,19.4,12.7 38.4,18.0,11.5
"Forgery, checks, access",,,,,,,,,,
cards.....................................,"11,470",398,"928 4,796","3,008","2,340",100.0,3.5,8.1 41.8,26.2,20.4
Arson.....................................,"1,397",694,97 216,159,231,100.0,49.7,6.9 15.5,11.4,16.5
Drug offenses...........................,"154,468","5,699","9,447 53,389","38,596","47,337",100.0,3.7,6.1 34.6,25.0,30.6
Narcotics...............................,"56,094","1,759","2,888 15,412","12,713","23,322",100.0,3.1,5.1 27.5,22.7,41.6
Marijuana...............................,"13,548","1,847","1,890 5,929","2,200","1,682",100.0,13.6,14.0 43.8,16.2,12.4
Dangerous drugs...................,"83,365","2,054","4,612 31,582","23,219","21,898",100.0,2.5,5.5 37.9,27.9,26.3
Other.....................................,"1,461",39,57 466,464,435,100.0,2.7,3.9 31.9,31.8,29.8
Sex offenses.............................,"9,107","1,340","611 2,327","1,774","3,055",100.0,14.7,6.7 25.6,19.5,33.5
Lewd or lascivious.................,"3,717",762,237 820,792,"1,106",100.0,20.5,6.4 22.1,21.3,29.8
Other.....................................,"5,390",578,"374 1,507",982,"1,949",100.0,10.7,6.9 28.0,18.2,36.2
Driving offenses........................,"7,908",207,"557 3,140","1,730","2,274",100.0,2.6,7.0 39.7,21.9,28.8
Driving under the influence....,"6,244",82,"347 2,465","1,408","1,942",100.0,1.3,5.6 39.5,22.5,31.1
Hit-and-run............................,"1,664",125,210 675,322,332,100.0,7.5,12.6 40.6,19.4,20.0
All other....................................,"91,854","15,161","8,371 31,998","18,003","18,321",100.0,16.5,9.1 34.8,19.6,19.9
Weapons...............................,"26,672","6,825","3,523 9,472","3,694","3,158",100.0,25.6,13.2 35.5,13.8,11.8
Escape..................................,282,24,30 133,66,29,100.0,8.5,10.6 47.2,23.4,10.3
Bookmaking...........................,4,0,0 1,1,2,100.0,0.0,0.0 25.0,25.0,50.0
Other.....................................,"64,896","8,312","4,818 22,392","14,242","15,132",100.0,12.8,7.4 34.5,21.9,23.3
