Category,,,Number,,,,,Percent,,
and,,,,,40 and,,,,,40 and
offense,Total,Under 18,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
otal...........................................,"429,807","36,368","31,170 151,827","100,480","109,962",100.0,8.5,7.3 35.3,23.4,25.6
Violent offenses.......................,"107,169","9,437","7,569 38,537","24,969","26,657",100.0,8.8,7.1 36.0,23.3,24.9
Homicide..............................,"1,637",96,223 707,314,297,100.0,5.9,13.6 43.2,19.2,18.1
Forcible rape........................,"1,682",153,125 565,401,438,100.0,9.1,7.4 33.6,23.8,26.0
Robbery................................,"16,867","3,483","2,547 6,267","2,537","2,033",100.0,20.6,15.1 37.2,15.0,12.1
Assault..................................,"85,471","5,618","4,567 30,366","21,300","23,620",100.0,6.6,5.3 35.5,24.9,27.6
Kidnapping...........................,"1,512",87,107 632,417,269,100.0,5.8,7.1 41.8,27.6,17.8
Property offenses....................,"110,244","14,355","10,279 38,186","23,747","23,677",100.0,13.0,9.3 34.6,21.5,21.5
Burglary................................,"52,233","9,290","5,914 17,872","9,476","9,681",100.0,17.8,11.3 34.2,18.1,18.5
Theft.....................................,"37,105","2,903","2,663 12,475","8,999","10,065",100.0,7.8,7.2 33.6,24.3,27.1
Motor vehicle theft................,"13,366","1,696","1,300 5,071","3,197","2,102",100.0,12.7,9.7 37.9,23.9,15.7
"Forgery, checks, access",,,,,,,,,,
cards....................................,"6,600",144,"340 2,577","1,934","1,605",100.0,2.2,5.2 39.0,29.3,24.3
Arson....................................,940,322,62 191,141,224,100.0,34.3,6.6 20.3,15.0,23.8
Drug offenses..........................,"120,995","3,645","6,489 43,069","31,180","36,612",100.0,3.0,5.4 35.6,25.8,30.3
Narcotics..............................,"36,574",807,"1,904 14,295","7,944","11,624",100.0,2.2,5.2 39.1,21.7,31.8
Marijuana..............................,"13,434","1,671","1,593 5,504","2,619","2,047",100.0,12.4,11.9 41.0,19.5,15.2
Dangerous drugs..................,"69,735","1,143","2,931 22,835","20,268","22,558",100.0,1.6,4.2 32.7,29.1,32.3
Other....................................,"1,252",24,61 435,349,383,100.0,1.9,4.9 34.7,27.9,30.6
Sex offenses............................,"7,201",968,"377 1,766","1,427","2,663",100.0,13.4,5.2 24.5,19.8,37.0
Lewd or lascivious................,"2,761",518,142 551,583,967,100.0,18.8,5.1 20.0,21.1,35.0
Other....................................,"4,440",450,"235 1,215",844,"1,696",100.0,10.1,5.3 27.4,19.0,38.2
Driving offenses.......................,"6,234",82,"326 2,455","1,464","1,907",100.0,1.3,5.2 39.4,23.5,30.6
Driving under the influence...,"5,091",39,"248 2,006","1,236","1,562",100.0,0.8,4.9 39.4,24.3,30.7
Hit-and-run...........................,"1,143",43,78 449,228,345,100.0,3.8,6.8 39.3,19.9,30.2
All other...................................,"77,964","7,881","6,130 27,814","17,693","18,446",100.0,10.1,7.9 35.7,22.7,23.7
Weapons..............................,"20,521","3,604","2,277 7,521","3,931","3,188",100.0,17.6,11.1 36.7,19.2,15.5
Escape.................................,207,16,14 97,50,30,100.0,7.7,6.8 46.9,24.2,14.5
Other....................................,"57,236","4,261","3,839 20,196","13,712","15,228",100.0,7.4,6.7 35.3,24.0,26.6
