"",,,Number,,,,,Percent,,
"",,,,,40 and,,,,,40 and
Offense Total,Under 18,,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
"Total....................................................9...2..5..,.7..2..9.. ....1..3..9...,6 69",,,"75,071 274,528","216,565","219,896",100.0,15.1,8.1 29.7,23.4,23.8
"Assault and battery..........................8..0..,.9..9..4.. ......2..2..,..7..0...1",,,"5,439 21,222","16,957","14,675",100.0,28.0,6.7 26.2,20.9,18.1
"Petty theft..........................................7..3..,.5..8..4.. ......3..0..,...08 0",,,"7,890 15,066","9,983","10,565",100.0,40.9,10.7 20.5,13.6,14.4
Checks and access cards...................4..4..4.. ............1..0..3.. ...,,,32 152,95,62,100.0,23.2,7.2 34.2,21.4,14.0
"Marijuana..........................................4..9..,.3..5..1.. .......1..4..,...38 2",,,"8,517 16,310","6,336","3,806",100.0,29.1,17.3 33.0,12.8,7.7
"Other drug........................................7...4..,.8..6..0.. ........2..,....90 8",,,"5,273 22,094","25,936","18,649",100.0,3.9,7.0 29.5,34.6,24.9
"Indecent exposure.............................1..,.8..7..7.. ............2..3...9",,,83 383,551,621,100.0,12.7,4.4 20.4,29.4,33.1
Annoying children.................................8..3..8.. ............2..3...7,,,83 199,146,173,100.0,28.3,9.9 23.7,17.4,20.6
Obscene matter......................................7..0.. ..............1...5,,,3 18,12,22,100.0,21.4,4.3 25.7,17.1,31.4
"Lewd conduct....................................3..,.5..9..3.. ............3....68",,,181 835,"1,118","1,091",100.0,10.2,5.0 23.2,31.1,30.4
"Prostitution.........................................1..2..,.0..9..6.. .............24 7",,,"662 3,482","4,076","3,629",100.0,2.0,5.5 28.8,33.7,30.0
"Drunk................................................1..1..4..,.0..2..3.. .........4...,9 17",,,"6,081 30,950","30,390","41,685",100.0,4.3,5.3 27.1,26.7,36.6
"Liquor laws.........................................2..6..,.8..9..8.. .........5....,83 2",,,"7,653 5,711","2,933","4,769",100.0,21.7,28.5 21.2,10.9,17.7
"Disturbing the peace.......................1..7..,.2..6..3.. ......1...0..,.9..6....6",,,"1,112 2,532","1,314","1,339",100.0,63.5,6.4 14.7,7.6,7.8
"Malicious mischief............................2..1..,.0..4..4.. .......1..2..,.7....48",,,"2,135 3,229","1,620","1,312",100.0,60.6,10.1 15.3,7.7,6.2
"Trespassing........................................1..7..,.3...3..6.. ........4....,1 95",,,"1,665 3,716","3,224","4,536",100.0,24.2,9.6 21.4,18.6,26.2
"Weapons.............................................4..,.5..9..3.. .........1..,...39 0",,,"582 1,445",604,572,100.0,30.3,12.7 31.5,13.2,12.5
"Driving under the influence..........1..7..8..,.4..3..1.. .........1..,.4..5..7....",,,"8,180 67,931","51,258","49,605",100.0,0.8,4.6 38.1,28.7,27.8
"Hit-and-run..........................................6..,.0..8..5... .............63 7",,,"790 2,204","1,249","1,205",100.0,10.5,13.0 36.2,20.5,19.8
"Selected traffic violations...............2...4..,.2..6..3.. ...........9..7..4...",,,"2,887 10,095","5,822","4,485",100.0,4.0,11.9 41.6,24.0,18.5
Gambling...............................................6..2...6.. ..............7 9,,,65 166,126,190,100.0,12.6,10.4 26.5,20.1,30.4
"All other...........................................2...1..7..,.4..6..0.. ......2..5....,1 94",,,"15,758 66,788","52,815","56,905",100.0,11.6,7.2 30.7,24.3,26.2
