"",,,Number,,,,,Percent,,
"",,,,,40 and,,,,,40 and
Offense,Total,Under 18,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
Total................................................,"903,249","132,475","71,457 279,051","197,002","223,264",100.0,14.7,7.9 30.9,21.8,24.7
Assault and battery......................,"84,936","22,515","5,064 22,909","17,680","16,768",100.0,26.5,6.0 27.0,20.8,19.7
Burglary........................................,626,413,43 96,41,33,100.0,66.0,6.9 15.3,6.5,5.3
Petty theft.....................................,"69,009","26,617","7,528 15,535","9,441","9,888",100.0,38.6,10.9 22.5,13.7,14.3
Checks and access cards............,829,129,77 317,175,131,100.0,15.6,9.3 38.2,21.1,15.8
Marijuana......................................,"47,251","13,908","7,810 16,313","5,310","3,910",100.0,29.4,16.5 34.5,11.2,8.3
Other drug....................................,"78,901","3,412","5,865 25,081","24,039","20,504",100.0,4.3,7.4 31.8,30.5,26.0
Indecent exposure........................,"1,702",199,53 408,440,602,100.0,11.7,3.1 24.0,25.9,35.4
Annoying children.........................,987,280,115 224,163,205,100.0,28.4,11.7 22.7,16.5,20.8
Obscene matter............................,91,21,4 13,23,30,100.0,23.1,4.4 14.3,25.3,33.0
Lewd conduct...............................,"3,637",396,"323 1,008",879,"1,031",100.0,10.9,8.9 27.7,24.2,28.3
Prostitution...................................,"12,086",404,"1,080 3,926","3,520","3,156",100.0,3.3,8.9 32.5,29.1,26.1
Drunk............................................,"100,095","4,036","5,196 27,127","24,310","39,426",100.0,4.0,5.2 27.1,24.3,39.4
Liquor laws...................................,"28,402","5,109","7,462 6,990","2,988","5,853",100.0,18.0,26.3 24.6,10.5,20.6
Disturbing the peace....................,"17,344","11,874","989 2,263","1,057","1,161",100.0,68.5,5.7 13.0,6.1,6.7
Malicious mischief........................,"17,457","10,236","1,583 2,977","1,388","1,273",100.0,58.6,9.1 17.1,8.0,7.3
Trespassing..................................,"18,366","3,592","1,621 4,260","3,414","5,479",100.0,19.6,8.8 23.2,18.6,29.8
Weapons......................................,"5,175","1,768","627 1,620",594,566,100.0,34.2,12.1 31.3,11.5,10.9
Driving under the influence..........,"173,748","1,482","8,007 69,171","46,055","49,033",100.0,0.9,4.6 39.8,26.5,28.2
Hit-and-run...................................,"6,945",744,"802 2,571","1,353","1,475",100.0,10.7,11.5 37.0,19.5,21.2
Selected traffic violations.............,"25,054","1,262","3,378 10,704","5,388","4,322",100.0,5.0,13.5 42.7,21.5,17.3
Gambling......................................,523,75,36 117,113,182,100.0,14.3,6.9 22.4,21.6,34.8
All other........................................,"210,085","24,003","13,794 65,421","48,631","58,236",100.0,11.4,6.6 31.1,23.1,27.7
