"",,,Number,,,,,Percent,,
Offense,,,,,40 and,,,,,40 and
"",Total,Under 18,18-19 20-29,30-39,over,Total,Under 18,18-19 20-29,30-39,over
Total.......................................,"758,056","22,836","20,974 232,900","220,770","260,576",100.0,3.0,2.8 30.7,29.1,34.4
Assault and battery.............,"81,095","7,786","3,006 24,473","21,868","23,962",100.0,9.6,3.7 30.2,27.0,29.5
Burglary..............................,"14,310",933,"729 4,653","4,075","3,920",100.0,6.5,5.1 32.5,28.5,27.4
Petty theft...........................,"28,887","2,472","1,256 8,190","7,964","9,005",100.0,8.6,4.3 28.4,27.6,31.2
Checks and access cards...,994,29,37 305,320,303,100.0,2.9,3.7 30.7,32.2,30.5
Marijuana............................,"3,769","1,209","393 1,063",511,593,100.0,32.1,10.4 28.2,13.6,15.7
Other drug...........................,"189,326",928,"2,666 55,251","64,918","65,563",100.0,0.5,1.4 29.2,34.3,34.6
Indecent exposure..............,"1,463",23,25 387,420,608,100.0,1.6,1.7 26.5,28.7,41.6
Annoying children...............,416,78,45 89,82,122,100.0,18.8,10.8 21.4,19.7,29.3
Obscene matter..................,98,64,2 6,16,10,100.0,65.3,2.0 6.1,16.3,10.2
Lewd conduct......................,"1,237",72,38 319,312,496,100.0,5.8,3.1 25.8,25.2,40.1
Prostitution..........................,"5,518",16,"581 2,924","1,027",970,100.0,0.3,10.5 53.0,18.6,17.6
Drunk..................................,"55,601",464,"1,418 17,057","14,750","21,912",100.0,0.8,2.6 30.7,26.5,39.4
Liquor laws..........................,"5,421",848,"1,317 1,484",517,"1,255",100.0,15.6,24.3 27.4,9.5,23.2
Disturbing the peace...........,"3,516","1,083",128 766,620,919,100.0,30.8,3.6 21.8,17.6,26.1
Vandalism...........................,"8,030","1,281","375 2,524","2,008","1,842",100.0,16.0,4.7 31.4,25.0,22.9
Trespassing........................,"29,147",565,"582 7,047","8,743","12,210",100.0,1.9,2.0 24.2,30.0,41.9
Weapons............................,"5,514","1,005","333 1,755","1,216","1,205",100.0,18.2,6.0 31.8,22.1,21.9
Driving under the influence.,"119,975",449,"3,231 48,464","32,593","35,238",100.0,0.4,2.7 40.4,27.2,29.4
Hit-and-run..........................,"5,127",190,"362 1,872","1,127","1,576",100.0,3.7,7.1 36.5,22.0,30.7
Selected traffic violations....,"6,993",223,"869 3,114","1,440","1,347",100.0,3.2,12.4 44.5,20.6,19.3
Gambling............................,506,9,6 89,164,238,100.0,1.8,1.2 17.6,32.4,47.0
All other..............................,"191,113","3,109","3,575 51,068","56,079","77,282",100.0,1.6,1.9 26.7,29.3,40.4
